# 数字の直後に来やすい語リスト（古アッシリア語/アッカド語・転写表記向け）

目的:
  行頭の「行番号（例: 1, 5, 10, 1', 1''）」と、
  行頭の「数量（例: 10 GÍN KÙ.BABBAR）」を区別するための補助辞書。

使い方の例（素朴なヒューリスティック）:
  行頭が「数字」+「次トークン」の形なら、
    次トークンがこのリストに含まれる → それは数量の可能性が高い（行番号として削除しない）
    次トークンが含まれない → 行番号の可能性が高い（削除候補）

注意:
  - 実際の転写では表記ゆれ（大文字/小文字、下付き数字、アクセント、ハイフン等）が多いです。
  - KUŠ など「単位」と「名詞（皮）」のように衝突するものもあります（メモ欄参照）。


カテゴリ	トークン（転写に出やすい形）	代表的な表記ゆれ・同義語	日本語の意味	メモ
重量・貨幣	GÍN	GIN; gin2; šiqlu	シェケル（基本の重量単位。銀の計量＝貨幣単位としても）	例: 2 GÍN KÙ.BABBAR（銀2シェケル）
重量・貨幣	MA.NA	ma-na; mana; manû	ミナ（= 60シェケル）	例: 1 MA.NA KÙ.BABBAR
重量・貨幣	GÚ / GUN₂	gu2; gú(n); GUN2; biltu; kakaru	タレント（大きな重量単位。= 60ミナ）	表記が GÚ / GUN₂ などで揺れることがあります
重量・貨幣	ŠE	še; uṭṭatu	（重量の最小単位としての）穀粒/大麦粒	メトロロジー表では 1シェケル=180ŠE など
体積・容量	SILA₃	sila3; SÌLA; qû; qa	シラ（容量単位。慣例的に約1L相当として扱われる）	転写では SILA₃ / sila3 の形が多い
体積・容量	BÁN / BAN₂	ban2; BÁN; sutū	バン（容量単位。慣例的に 10シラ）	例: 3 BÁN ŠE（大麦3バン）
体積・容量	BARIG	ba-ri₂-ga; barig; parsiktu	バリグ（容量単位。慣例的に 60シラ=6バン）	
体積・容量	GUR	gur; kurru	グル（容量単位。慣例的に 300シラ=5バリグ）	「royal gur」などの用語でも登場
体積・容量	PI	pi; pî	（容量単位としての）ピ	例: 1 PI 4 BÁN のように複合で出ることがあります
体積・容量	NIGIDA	nigida	グルの下位区分の一つ（体系による）	数値表記が独特になることがあります
長さ・距離	ŠU.SI	šu-si	指幅（フィンガー）	
長さ・距離	KUŠ₃ / KÙŠ	kuš3; KUŠ	肘尺（キュビット）※／（別義で）皮革（KUŠ）	単位KUŠと名詞KUŠ（皮）で衝突するので注意
長さ・距離	NINDA	ninda	（測量の）竿/ロッド	
長さ・距離	UŠ	uš	距離（・天文学では角度）単位	
長さ・距離	DANNA	danna	ダンナ（距離／または時間にも転用される単位）	
長さ・距離	BĒRU / BERU	bēru; kasbu	ベール（もともと距離。後に時間単位（見張り番=約2時間）にも）	DANNAと併記されることがあります
面積	GIN₂	gin2	（面積の）小単位（平方キュビット相当として扱われる）	重量単位gin2と同形なので文脈が重要
面積	SAR	sar; mūšaru	サル（区画/面積単位）	
面積	IKU	iku; ikû	イク（畑/面積単位。= 100 sar）	
面積	EŠE₃	eše3	エシェ（= 6 iku）	
面積	BUR₃	bur3; būru	ブル（= 18 iku）	
面積	GAN₂	gan2	（面積体系で使われる記号・『区画/畑』系）	
時間	UD / U₄	UD; U4; ūmu; immu	日	転写ではUD/U₄が多い
時間	ITI / ITU / ITUD	ITI; ITU; itud; arḫu; warḫu	月	月名の前に決定詞として置かれることが多い
時間	MU / MU.KAM	MU; MU.KAM; šattu	年	
時間	BĒRU	bēru	（時間としての）見張り番（約2時間）	距離単位と兼用されます
計数対象（代表例）	KÙ.BABBAR / KU₃.BABBAR / KUG.BABBAR	kaspum	銀	重量単位とセットで頻出
計数対象（代表例）	KÙ.SIG₁₇ / KU₃.SIG₁₇	ḫurāṣu	金	
計数対象（代表例）	URUDA	urudu	銅	
計数対象（代表例）	ZABAR	zabar	青銅	
計数対象（代表例）	AN.BAR	parzillu	鉄	
計数対象（代表例）	TÚG	tug2	織物・布	数＋TÚG の形で出ることがある
計数対象（代表例）	UDU	immeru	羊（小家畜）	
計数対象（代表例）	GUD	alpu	牛	
計数対象（代表例）	ANŠE	imēru	ロバ（荷役獣）	単位imēru（容量）と語が同じことがあるので注意
計数対象（代表例）	DUB	ṭuppu	粘土板（文書）	
計数対象（代表例）	GIŠ	(det.)	木（木製品の決定詞）	数の直後というより名詞の前に付くことが多い
計数対象（代表例）	NA₄	(det.)	石（石製品の決定詞）	
計数対象（代表例）	KUŠ	mašku	皮・革・皮革製品	単位KUŠと衝突（上も参照）
体積・容量	ŠE（乾量体系名）	ŠE system	乾量の体系名としてのŠE	単位というより体系名として出ることがあります
体積・容量	A（水）	A; mû	水（容量対象として）	数量＋A（＝水）のように出る場合
長さ・距離	NINDAN（表記ゆれ）	nindan	ニンダン（ninda系の表記揺れ）	表記が資料により揺れる場合あり
